Rank,Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
45,Nelson Agholor,124,0,0,0,0,0,0,1,7,0,0,62,768,8,0,0,1
46,Golden Tate,123,0,0,0,0,0,1,5,22,0,0,92,"1,003",5,0,1,0
47,Zach Ertz,123,0,0,0,0,0,0,0,0,0,0,74,824,8,0,1,0
48,DeMarco Murray,120,0,0,0,0,0,0,184,659,6,0,39,266,1,0,1,0
49,Jerick McKinnon,117,0,0,0,0,0,0,150,570,3,1,51,421,2,0,2,0
50,Demaryius Thomas,116,0,0,0,0,0,0,0,0,0,0,83,949,5,0,1,0
51,Derrick Henry,114,0,0,0,0,0,0,176,744,5,0,11,136,1,0,0,0
52,Bilal Powell,113,0,0,0,0,0,0,178,772,5,0,23,170,0,0,1,0
53,T.Y. Hilton,113,0,0,0,0,0,0,0,0,0,0,57,966,4,0,1,0
54,Dez Bryant,111,0,0,0,0,0,0,1,-4,0,0,69,838,6,0,1,0
55,Kenny Stills,110,0,0,0,0,0,0,0,0,0,0,58,847,6,0,2,0
56,Michael Crabtree,110,0,0,0,0,0,0,0,0,0,0,58,618,8,2,0,0
57,Cooper Kupp,109,1,0,0,0,0,0,0,0,0,0,62,869,5,0,1,0
58,Isaiah Crowell,108,0,0,0,0,0,0,206,853,2,1,28,182,0,0,1,0
59,Jamaal Williams,107,0,0,0,0,0,0,153,556,4,0,25,262,2,0,0,0
60,Jimmy Graham,107,0,0,0,0,0,0,0,0,0,0,57,520,10,1,0,0
61,Orleans Darkwa,107,0,0,0,0,0,0,171,751,5,1,19,116,0,0,0,0
62,Javorius Allen,107,0,0,0,0,0,0,153,591,4,0,46,250,2,0,0,0
63,Chris Thompson,105,0,0,0,0,0,0,64,294,2,0,39,510,4,0,2,0
64,Jonathan Stewart,104,0,0,0,0,0,0,198,680,6,0,8,52,1,0,3,0
65,Kenyan Drake,104,0,0,0,0,0,0,133,644,3,1,32,239,1,0,2,0
66,Marquise Goodwin,103,0,0,0,0,0,0,4,44,0,0,56,962,2,0,0,0
67,Evan Engram,103,0,0,0,0,0,0,1,14,0,0,64,722,6,0,0,0
68,Robert Woods,102,0,0,0,0,0,0,2,12,0,0,56,781,5,0,1,0
69,Sammy Watkins,102,0,0,0,0,0,0,0,0,0,0,39,593,8,0,0,0
70,Mohamed Sanu,102,1,1,51,1,0,0,4,10,0,0,67,703,5,0,0,0
71,Amari Cooper,102,0,0,0,0,0,0,1,4,0,0,48,680,7,0,0,0
72,Jay Ajayi,102,0,0,0,0,0,0,208,873,1,0,24,158,1,0,2,0
73,Joe Mixon,101,0,0,0,0,0,0,178,626,4,0,30,287,0,0,2,0
74,Jermaine Kearse,101,0,0,0,0,0,0,0,0,0,0,65,810,5,0,0,0
75,Paul Richardson,100,0,0,0,0,0,0,0,0,0,0,44,703,6,0,0,0
76,Ted Ginn Jr.,98,0,0,0,0,0,0,10,39,0,0,53,787,4,0,0,0
77,Giovani Bernard,98,0,0,0,0,0,0,105,458,2,0,43,389,2,0,0,0
78,Delanie Walker,97,0,0,0,0,0,0,2,-2,1,0,74,807,3,0,2,0
79,Rishard Matthews,97,0,0,0,0,0,0,1,-3,0,0,53,795,4,0,0,0
80,Kyle Rudolph,93,0,0,0,0,0,0,0,0,0,0,57,532,8,0,0,0
81,Mike Wallace,91,0,0,0,0,0,0,1,4,0,0,52,748,4,0,0,0
82,Rex Burkhead,91,0,0,0,0,0,0,64,264,5,0,30,254,3,0,0,0
83,LeGarrette Blount,91,0,0,0,0,0,0,173,766,2,1,8,50,1,0,1,0
84,Theo Riddick,90,0,0,0,0,0,0,84,286,3,0,53,444,2,0,1,0
85,Jamison Crowder,90,0,0,0,0,0,0,7,34,0,0,66,789,3,0,3,0
86,Tyrell Williams,89,0,0,0,0,0,0,0,0,0,0,43,728,4,0,1,0
87,Ameer Abdullah,89,0,0,0,0,0,0,165,552,4,0,25,162,1,0,1,0
88,Cameron Brate,88,0,0,0,0,0,0,0,0,0,0,48,591,6,0,0,0
89,Marqise Lee,85,1,0,0,0,0,0,1,17,0,0,56,702,3,1,0,0
90,Keelan Cole,85,0,0,0,0,0,0,0,0,0,0,42,748,3,0,1,0
91,Randall Cobb,85,1,1,10,0,0,0,9,17,0,0,66,653,4,1,0,0
92,Jack Doyle,84,0,0,0,0,0,0,0,0,0,0,80,690,4,0,2,0
93,Tarik Cohen,84,2,1,21,1,0,0,87,370,2,0,53,353,1,0,2,0
94,DeSean Jackson,81,0,0,0,0,0,0,3,38,0,0,50,668,3,0,0,0
95,Travis Benjamin,81,0,0,0,0,0,0,13,96,0,0,34,567,4,0,0,0
96,Sterling Shepard,80,0,0,0,0,0,0,4,4,0,0,59,731,2,0,0,0
97,Will Fuller,80,0,0,0,0,0,0,2,9,0,0,28,423,7,0,0,0
98,Josh Doctson,80,0,0,0,0,0,0,1,-14,0,0,35,502,6,0,0,0
99,Kelvin Benjamin,80,0,0,0,0,0,0,0,0,0,0,48,692,3,0,0,0
100,Jordy Nelson,79,0,0,0,0,0,0,0,0,0,0,53,482,6,0,0,0
